îNåéì˙,ç≈çÇãCâ∑(Åé),ì˙è∆éûä‘(éûä‘)
2021/1/1,10.5,8.7
2021/1/2,10.8,8.8
2021/1/3,8.4,8.8
2021/1/4,11.4,7.7
2021/1/5,10,1
2021/1/6,6.8,0.4
2021/1/7,12.7,7.4
2021/1/8,6.5,5.4
2021/1/9,8.4,8.5
2021/1/10,8.1,8.9
2021/1/11,6.5,0.8
2021/1/12,5.7,0
2021/1/13,12.5,9.1
2021/1/14,14.5,9
2021/1/15,7.6,0
2021/1/16,18.7,8.8
2021/1/17,8,0.2
2021/1/18,8.6,5.4
2021/1/19,9.5,9.2
2021/1/20,9.5,9.2
2021/1/21,10.7,9.1
2021/1/22,16,7.7
2021/1/23,10.2,0
2021/1/24,6.5,0
2021/1/25,13.2,8.8
2021/1/26,11.2,2.2
2021/1/27,16.2,0.8
2021/1/28,7.9,0.2
2021/1/29,10.8,7.5
2021/1/30,9.3,9.4
2021/1/31,11.9,9.4
2021/2/1,14,4.5
2021/2/2,15.6,4.2
2021/2/3,11.8,9
2021/2/4,12.6,9.5
2021/2/5,12.4,8.9
2021/2/6,15,9.4
2021/2/7,16.3,9.1
2021/2/8,11,2.7
2021/2/9,9.6,9.7
2021/2/10,12.1,8
2021/2/11,14.1,9.4
2021/2/12,11.7,1.5
2021/2/13,16.2,9.4
2021/2/14,18.2,6.4
2021/2/15,14.1,0.6
2021/2/16,16.4,10
2021/2/17,13.1,7
2021/2/18,10.4,7
2021/2/19,12.3,10
2021/2/20,18.1,9.9
2021/2/21,20.9,9.9
2021/2/22,21.9,10.2
2021/2/23,15.5,9.7
2021/2/24,11.9,10.1
2021/2/25,11.3,8.5
2021/2/26,11.8,0
2021/2/27,9.6,9.9
2021/2/28,12.9,10.4
2021/3/1,19.1,7.3
2021/3/2,19.8,0.2
2021/3/3,11.8,10.8
2021/3/4,15,8.4
2021/3/5,17.4,3.6
2021/3/6,21,4.9
2021/3/7,10.3,0.2
2021/3/8,7.7,0
2021/3/9,13.7,3.7
2021/3/10,19.4,10.3
2021/3/11,15.4,10.7
2021/3/12,18,2.8
